layer 37
    conv filter 1
      unnormalized sims:
        top 0 is 13=',' with sim 2.289437770843506
        top 1 is 15='.' with sim 2.1231915950775146
        top 154 is 13089=' Jean' with sim -0.7535158395767212
        top 155 is 17467=' Anne' with sim -0.7552788853645325
        top 156 is 6039=' Cam' with sim -0.7574723958969116
        top 157 is 21130=' Andy' with sim -0.7596272230148315
        top 158 is 31472=' Jesse' with sim -0.7609081268310547
        top 159 is 48576=' Marty' with sim -0.7614644169807434
        top 160 is 33099=' Valentine' with sim -0.7615867853164673
        top 161 is 32874=' Kerry' with sim -0.7660122513771057
        top 162 is 23442=' Helen' with sim -0.7684034109115601
        top 163 is 27145=' Tommy' with sim -0.7690092921257019
        top 164 is 29051=' Quinn' with sim -0.7711395025253296
        top 165 is 42319=' Clare' with sim -0.7789800763130188
        top 166 is 45867=' Megan' with sim -0.7825571894645691
        top 167 is 39914=' Doll' with sim -0.7912615537643433
        top 168 is 32252=' Casey' with sim -0.7975982427597046
        top 169 is 26642=' Martha' with sim -0.8000905513763428
        top 170 is 33357=' Adrian' with sim -0.8043830394744873
        top 171 is 44339=' Shirley' with sim -0.8051431179046631
        top 172 is 17363=' Eve' with sim -0.8116776943206787
        top 173 is 28585=' Blair' with sim -0.8143143653869629
        top 174 is 25975=' Emma' with sim -0.8200165629386902
        top 175 is 45023=' Lucky' with sim -0.8282920122146606
        top 176 is 33747=' Ashley' with sim -0.8305197954177856
        top 177 is 21872=' Perry' with sim -0.8305504322052002
        top 178 is 41186=' Eva' with sim -0.8320356607437134
        top 179 is 27283=' Jamie' with sim -0.8327798843383789
        top 180 is 41120=' Esther' with sim -0.833593487739563
        top 181 is 15458=' Sarah' with sim -0.8412495255470276
        top 182 is 42486=' Tate' with sim -0.8423880934715271
        top 183 is 32577=' Sally' with sim -0.8431897759437561
        top 184 is 21960=' Laura' with sim -0.8461315631866455
        top 185 is 25856=' Kyle' with sim -0.8476824760437012
        top 186 is 36449=' Christine' with sim -0.8497747182846069
        top 187 is 20047=' Vin' with sim -0.8543045520782471
        top 188 is 48038=' Cory' with sim -0.8606092929840088
        top 189 is 31802=' Viv' with sim -0.862342119216919
        top 190 is 20344=' Fern' with sim -0.8656326532363892
        top 191 is 26355=' Jennifer' with sim -0.8697007894515991
        top 192 is 40136=' Cassie' with sim -0.8741949796676636
        top 193 is 25062=' Karen' with sim -0.8745138049125671
        top 194 is 23397=' Nancy' with sim -0.8745982646942139
        top 195 is 27238=' Eddie' with sim -0.8765789270401001
        top 196 is 33240=' Diana' with sim -0.8798145651817322
        top 197 is 28710=' Dale' with sim -0.8799429535865784
        top 198 is 40104=' Connie' with sim -0.8827122449874878
        top 199 is 33811=' Amanda' with sim -0.883910596370697
      cosine sims:
        top 0 is 13=',' with sim 0.10793418437242508
        top 1 is 15='.' with sim 0.10100500285625458
        top 2 is 285=' and' with sim 0.08198210597038269
        top 3 is 247=' a' with sim 0.08093203604221344
        top 4 is 253=' the' with sim 0.07638026773929596
        top 5 is 281=' to' with sim 0.07163684070110321
        top 6 is 387=' at' with sim 0.06133885681629181
        top 7 is 0='<|endoftext|>' with sim 0.0574658140540123
        top 8 is 8652=' Lee' with sim 0.026403050869703293
        top 9 is 45='L' with sim 0.026065772399306297
        top 10 is 574=' had' with sim 0.02527979575097561
        top 11 is 2419=' house' with sim 0.02265815995633602
        top 12 is 6893=' Frank' with sim 0.021272990852594376
        top 13 is 8939=' Pet' with sim 0.020563090220093727
        top 14 is 7903=' Max' with sim 0.013988099992275238
        top 15 is 12447=' Rose' with sim 0.012238159775733948
        top 16 is 16922=' Alice' with sim 0.006939672864973545
        top 17 is 4382=' computer' with sim 0.005523102357983589
        top 18 is 3689=' Min' with sim -0.0006763427518308163
        top 19 is 3534=' gave' with sim -0.0026423921808600426
        top 20 is 5818=' ring' with sim -0.003305407240986824
        top 21 is 2143=' school' with sim -0.006907983683049679
        top 22 is 31316=' Ellen' with sim -0.007284797728061676
        top 23 is 25635=' Ruth' with sim -0.007579963654279709
        top 24 is 10049=' Van' with sim -0.007864954881370068
        top 25 is 6086=' George' with sim -0.009133579209446907
        top 26 is 38916=' Willie' with sim -0.011036009527742863
        top 27 is 36097=' Jenny' with sim -0.011762707494199276
        top 28 is 47896=' Cecil' with sim -0.011936379596590996
        top 29 is 6393=' Mary' with sim -0.0127079663798213
        top 30 is 5961=' bone' with sim -0.013154157437384129
        top 31 is 5769=' Sam' with sim -0.013433041982352734
        top 32 is 22463=' Robin' with sim -0.014011198654770851
        top 33 is 4657=' store' with sim -0.014242061413824558
        top 34 is 12694=' Elizabeth' with sim -0.015000144951045513
        top 35 is 18707=' Gray' with sim -0.015442147850990295
        top 36 is 3906=' office' with sim -0.01591397635638714
        top 37 is 42518=' Rica' with sim -0.01646120473742485
        top 38 is 6416=' Christian' with sim -0.016742318868637085
        top 39 is 37932=' Raven' with sim -0.016864947974681854
        top 40 is 10766=' Kim' with sim -0.01797039434313774
        top 41 is 36532=' Randy' with sim -0.018032893538475037
        top 42 is 47385=' Elaine' with sim -0.018665708601474762
        top 43 is 35436=' Donna' with sim -0.01968507282435894
        top 44 is 27261=' Julia' with sim -0.02024923637509346
        top 45 is 36253=' Jill' with sim -0.020880255848169327
        top 46 is 794=' fun' with sim -0.021077610552310944
        top 47 is 2552=' May' with sim -0.02119864709675312
        top 48 is 31959=' Rebecca' with sim -0.021406911313533783
        top 49 is 31231=' Claire' with sim -0.02141636796295643
        top 50 is 31479=' Liz' with sim -0.02155141718685627
        top 51 is 6588=' Kore' with sim -0.02295156940817833
        top 52 is 20882=' Danny' with sim -0.023633159697055817
        top 53 is 20145=' Margaret' with sim -0.023759368807077408
        top 54 is 22723=' Sean' with sim -0.023772213608026505
        top 55 is 27575=' Happy' with sim -0.024468157440423965
        top 56 is 3419=' Ag' with sim -0.024605879560112953
        top 57 is 27955=' Faith' with sim -0.024827133864164352
        top 58 is 14943=' Kelly' with sim -0.02494916319847107
        top 59 is 2263=' Cal' with sim -0.025200853124260902
        top 60 is 23961=' Kay' with sim -0.026388388127088547
        top 61 is 16543=' Anna' with sim -0.02682068757712841
        top 62 is 48930=' Clem' with sim -0.027006320655345917
        top 63 is 8969=' Tim' with sim -0.027129964902997017
        top 64 is 20222=' Susan' with sim -0.02753087691962719
        top 65 is 45664=' Allison' with sim -0.027599819004535675
        top 66 is 15541=' Hope' with sim -0.027821512892842293
        top 67 is 36965=' Diane' with sim -0.027866026386618614
        top 68 is 45655=' Tina' with sim -0.02788400650024414
        top 69 is 35657=' Leslie' with sim -0.027903854846954346
        top 70 is 6939=' Mil' with sim -0.028070557862520218
        top 71 is 35503=' Rosa' with sim -0.02826617658138275
        top 72 is 37101=' Honey' with sim -0.028781089931726456
        top 73 is 19917=' Barbara' with sim -0.029309161007404327
        top 74 is 35944=' Andrea' with sim -0.029391752555966377
        top 75 is 48990=' Leah' with sim -0.029726075008511543
        top 76 is 47613=' Irene' with sim -0.029842402786016464
        top 77 is 37601=' Britt' with sim -0.030171183869242668
        top 78 is 22707=' Lisa' with sim -0.03039439767599106
        top 79 is 41654=' Rosie' with sim -0.03083801083266735
        top 80 is 49150=' Leigh' with sim -0.03107857145369053
        top 81 is 10497=' Asia' with sim -0.03114727884531021
        top 82 is 42006=' Paula' with sim -0.03155827522277832
        top 83 is 21088=' Marie' with sim -0.03183705359697342
        top 84 is 18966=' Grace' with sim -0.03212377429008484
        top 85 is 10734=' Ray' with sim -0.03225785493850708
        top 86 is 45931=' Vera' with sim -0.03230398893356323
        top 87 is 36669=' Dana' with sim -0.03242108225822449
        top 88 is 37976=' Theresa' with sim -0.03356699272990227
        top 89 is 38994=' Melissa' with sim -0.033919066190719604
        top 90 is 48511=' Theo' with sim -0.03403954952955246
        top 91 is 45503=' Bella' with sim -0.034086406230926514
        top 92 is 37083=' Heather' with sim -0.03510655090212822
        top 93 is 46194=' Gus' with sim -0.03571946173906326
        top 94 is 22169=' Beth' with sim -0.036300383508205414
        top 95 is 46980=' Rita' with sim -0.03643057495355606
        top 96 is 19669=' Billy' with sim -0.03714851289987564
        top 97 is 37930=' Nicole' with sim -0.03719974309206009
        top 98 is 38150=' Stephanie' with sim -0.037320900708436966
        top 99 is 13268=' Jordan' with sim -0.037382595241069794
        top 100 is 35685=' Janet' with sim -0.03769167140126228
        top 101 is 15784=' Row' with sim -0.03793000802397728
        top 102 is 21122=' Jerry' with sim -0.03796505182981491
        top 103 is 34876=' Sue' with sim -0.03819648176431656
        top 104 is 18267=' Atlanta' with sim -0.03825508430600166
        top 105 is 30680=' Meta' with sim -0.038274168968200684
        top 106 is 7948=' Tuesday' with sim -0.038525473326444626
        top 107 is 21521=' Ruby' with sim -0.038580771535634995
        top 108 is 38048=' Judy' with sim -0.038637831807136536
        top 109 is 32817=' Lily' with sim -0.03882104903459549
        top 110 is 16286=' Morgan' with sim -0.03889276087284088
        top 111 is 44056=' Lindsay' with sim -0.038906387984752655
        top 112 is 39319=' Ara' with sim -0.03899108245968819
        top 113 is 23425=' Catherine' with sim -0.03900367394089699
        top 114 is 38181=' Dot' with sim -0.03930296376347542
        top 115 is 4660=' station' with sim -0.03933907300233841
        top 116 is 40103=' Dorothy' with sim -0.03935827314853668
        top 117 is 21804=' Bert' with sim -0.03966974839568138
        top 118 is 37921=' Molly' with sim -0.03976438567042351
        top 119 is 36938=' Dell' with sim -0.03990308195352554
        top 120 is 37497=' Katherine' with sim -0.03995750844478607
        top 121 is 28518=' Hannah' with sim -0.040019914507865906
        top 122 is 49567=' Peggy' with sim -0.040123894810676575
        top 123 is 24112=' Lucy' with sim -0.04052555561065674
        top 124 is 34655=' Caroline' with sim -0.0406336784362793
        top 125 is 31717=' Alexa' with sim -0.04072339087724686
        top 126 is 27741=' Florence' with sim -0.0407661497592926
        top 127 is 46972=' Gloria' with sim -0.041333626955747604
        top 128 is 41131=' Amber' with sim -0.04137279838323593
        top 129 is 5484=' drink' with sim -0.04150983318686485
        top 130 is 36604=' Brett' with sim -0.041865602135658264
        top 131 is 39914=' Doll' with sim -0.04192609712481499
        top 132 is 42809=' Whitney' with sim -0.04193565994501114
        top 133 is 37641=' Jackie' with sim -0.0421542264521122
        top 134 is 48718=' Nell' with sim -0.04262690246105194
        top 135 is 31338=' Annie' with sim -0.04281392693519592
        top 136 is 20428=' Kate' with sim -0.04333193227648735
