layer 47
    conv filter 1
      unnormalized sims:
        top 0 is 13=',' with sim 1.4592626094818115
        top 105 is 18707=' Gray' with sim -0.028699176385998726
        top 106 is 24707=' Bobby' with sim -0.029888760298490524
        top 107 is 27283=' Jamie' with sim -0.030125150457024574
        top 108 is 41131=' Amber' with sim -0.030775554478168488
        top 109 is 10648=' Sher' with sim -0.03084363043308258
        top 110 is 40152=' Tracy' with sim -0.031051676720380783
        top 111 is 22169=' Beth' with sim -0.031065024435520172
        top 112 is 29489=' Jessica' with sim -0.031166616827249527
        top 113 is 43783=' Philippine' with sim -0.03172483295202255
        top 114 is 28084=' Pam' with sim -0.031832803040742874
        top 115 is 47385=' Elaine' with sim -0.031962260603904724
        top 116 is 31316=' Ellen' with sim -0.032084591686725616
        top 117 is 26525=' Ada' with sim -0.03238507732748985
        top 118 is 23425=' Catherine' with sim -0.03284865617752075
        top 119 is 45023=' Lucky' with sim -0.03326572850346565
        top 120 is 29804=' Angela' with sim -0.03327065706253052
        top 121 is 36097=' Jenny' with sim -0.03345361351966858
        top 122 is 27982=' Gates' with sim -0.03350032866001129
        top 123 is 20222=' Susan' with sim -0.03351840376853943
        top 124 is 39888=' Aurora' with sim -0.03393710032105446
        top 125 is 25498=' Gay' with sim -0.033939775079488754
        top 126 is 24504=' Emily' with sim -0.03401908278465271
        top 127 is 28707=' Shell' with sim -0.034546129405498505
        top 128 is 19051=' Lane' with sim -0.035112667828798294
        top 129 is 37921=' Molly' with sim -0.03565961867570877
        top 130 is 30680=' Meta' with sim -0.03683856129646301
        top 131 is 36210=' Venus' with sim -0.03697408735752106
        top 132 is 32577=' Sally' with sim -0.03807957470417023
        top 133 is 37073=' Katie' with sim -0.03886740282177925
        top 134 is 34365=' Doe' with sim -0.0395565927028656
        top 135 is 33534=' Bea' with sim -0.03960471972823143
        top 136 is 27955=' Faith' with sim -0.04005717486143112
        top 137 is 31596=' Belle' with sim -0.04024873301386833
        top 138 is 35028=' Louise' with sim -0.040277790278196335
        top 139 is 33099=' Valentine' with sim -0.04041597247123718
        top 140 is 13209=' Bab' with sim -0.040681589394807816
        top 141 is 27522=' Frances' with sim -0.0410240963101387
        top 142 is 21638=' Terry' with sim -0.04143746197223663
        top 143 is 21960=' Laura' with sim -0.041601426899433136
        top 144 is 27477=' Easter' with sim -0.041722021996974945
        top 145 is 45711=' Kathleen' with sim -0.041724588721990585
        top 146 is 38048=' Judy' with sim -0.04198667034506798
        top 147 is 33821=' Lauren' with sim -0.042152877897024155
        top 148 is 38150=' Stephanie' with sim -0.042159393429756165
        top 149 is 44846=' Elena' with sim -0.04217653349041939
        top 150 is 16225=' Victoria' with sim -0.04226000979542732
        top 151 is 42319=' Clare' with sim -0.04252425953745842
        top 152 is 32962=' Dawn' with sim -0.04254912585020065
        top 153 is 23442=' Helen' with sim -0.04269934073090553
        top 154 is 47442=' Gert' with sim -0.04277675598859787
        top 155 is 30014=' Berry' with sim -0.04313717037439346
        top 156 is 22463=' Robin' with sim -0.0433163046836853
        top 157 is 29778=' Joan' with sim -0.043593570590019226
        top 158 is 35944=' Andrea' with sim -0.04434773325920105
        top 159 is 16286=' Morgan' with sim -0.04437419772148132
        top 160 is 39319=' Ara' with sim -0.044931843876838684
        top 161 is 47572=' Dix' with sim -0.04520437866449356
        top 162 is 40282=' Adelaide' with sim -0.04538197070360184
        top 163 is 38005=' Marian' with sim -0.04566280171275139
        top 164 is 37875=' Abbey' with sim -0.045752257108688354
        top 165 is 33747=' Ashley' with sim -0.04647192731499672
        top 166 is 41120=' Esther' with sim -0.0465841144323349
        top 167 is 24112=' Lucy' with sim -0.04663953185081482
        top 168 is 36606=' Joyce' with sim -0.04684603214263916
        top 169 is 27145=' Tommy' with sim -0.046979282051324844
        top 170 is 47756=' Dru' with sim -0.047039397060871124
        top 171 is 45655=' Tina' with sim -0.04713701456785202
        top 172 is 20047=' Vin' with sim -0.04764588922262192
        top 173 is 35262=' Sophie' with sim -0.04768463969230652
        top 174 is 39206=' Patricia' with sim -0.047757405787706375
        top 175 is 29509=' Crystal' with sim -0.047831982374191284
        top 176 is 46147=' Kathy' with sim -0.04879217594861984
        top 177 is 26355=' Jennifer' with sim -0.04900459945201874
        top 178 is 33503=' snack' with sim -0.04906383901834488
        top 179 is 15541=' Hope' with sim -0.049464136362075806
        top 180 is 45867=' Megan' with sim -0.0495498962700367
        top 181 is 43947=' Kitty' with sim -0.0497327595949173
        top 182 is 21872=' Perry' with sim -0.05000317841768265
        top 183 is 33515=' Perl' with sim -0.05023323744535446
        top 184 is 34876=' Sue' with sim -0.05023457109928131
        top 185 is 36938=' Dell' with sim -0.05025129392743111
        top 186 is 42413=' Tess' with sim -0.05052514001727104
        top 187 is 46604=' Erin' with sim -0.05055814981460571
        top 188 is 46389=' Judith' with sim -0.050714462995529175
        top 189 is 50178=' Lindsey' with sim -0.05077579617500305
        top 190 is 48511=' Theo' with sim -0.051004379987716675
        top 191 is 48801=' Nina' with sim -0.05116833746433258
        top 192 is 47896=' Cecil' with sim -0.05124852806329727
        top 193 is 35084=' Silva' with sim -0.05168692767620087
        top 194 is 47137=' Valencia' with sim -0.051705509424209595
        top 195 is 27575=' Happy' with sim -0.0517360121011734
        top 196 is 41654=' Rosie' with sim -0.05181374028325081
        top 197 is 47613=' Irene' with sim -0.05196942389011383
        top 198 is 40771=' Shane' with sim -0.052094168961048126
        top 199 is 6588=' Kore' with sim -0.05220188945531845
    conv filter 2
      unnormalized sims:
        top 0 is 12096=' Georgia' with sim 1.013765811920166
        top 1 is 30680=' Meta' with sim 0.9180941581726074
        top 2 is 20882=' Danny' with sim 0.900800347328186
        top 3 is 28710=' Dale' with sim 0.8845630288124084
        top 4 is 21521=' Ruby' with sim 0.8782838582992554
        top 5 is 3534=' gave' with sim 0.8478972315788269
        top 6 is 3978=' June' with sim 0.8467817902565002
        top 7 is 26525=' Ada' with sim 0.8371347188949585
        top 8 is 38181=' Dot' with sim 0.8249608278274536
        top 9 is 10049=' Van' with sim 0.81047523021698
        top 10 is 28707=' Shell' with sim 0.795064389705658
        top 11 is 29531=' Fan' with sim 0.7856528759002686
        top 12 is 40152=' Tracy' with sim 0.747037947177887
        top 13 is 23801=' Honor' with sim 0.7463656663894653
        top 14 is 29051=' Quinn' with sim 0.7435610294342041
        top 15 is 35084=' Silva' with sim 0.7365413904190063
        top 16 is 4382=' computer' with sim 0.7308880090713501
        top 17 is 34365=' Doe' with sim 0.7157036066055298
        top 18 is 25856=' Kyle' with sim 0.6789517402648926
        top 19 is 4162=' April' with sim 0.6692266464233398
        top 20 is 16286=' Morgan' with sim 0.6604154109954834
        top 21 is 36606=' Joyce' with sim 0.6591695547103882
        top 22 is 10497=' Asia' with sim 0.6589624881744385
        top 23 is 2552=' May' with sim 0.6561517715454102
        top 24 is 6939=' Mil' with sim 0.6382659673690796
        top 25 is 47474=' Rey' with sim 0.6364612579345703
        top 26 is 18966=' Grace' with sim 0.6097378730773926
        top 27 is 21088=' Marie' with sim 0.5992670059204102
        top 28 is 50178=' Lindsey' with sim 0.5964492559432983
        top 29 is 19051=' Lane' with sim 0.5957244634628296
        top 30 is 8652=' Lee' with sim 0.5950489044189453
        top 31 is 23961=' Kay' with sim 0.5946114659309387
        top 32 is 42518=' Rica' with sim 0.5753018856048584
        top 33 is 49813=' Kelley' with sim 0.5532504916191101
        top 34 is 35028=' Louise' with sim 0.5521469712257385
        top 35 is 27238=' Eddie' with sim 0.5411295294761658
        top 36 is 9385=' Virginia' with sim 0.5376576781272888
        top 37 is 10766=' Kim' with sim 0.5317537784576416
        top 38 is 5484=' drink' with sim 0.5295536518096924
        top 39 is 22825=' Barry' with sim 0.5175634622573853
        top 40 is 20344=' Fern' with sim 0.5152176022529602
        top 41 is 18267=' Atlanta' with sim 0.5077290534973145
        top 42 is 7903=' Max' with sim 0.5057817697525024
        top 43 is 7948=' Tuesday' with sim 0.5038235187530518
        top 44 is 36669=' Dana' with sim 0.5027546882629395
        top 45 is 24465=' Gill' with sim 0.5003209114074707
        top 46 is 12447=' Rose' with sim 0.4980495274066925
        top 47 is 16543=' Anna' with sim 0.4980059564113617
        top 48 is 15784=' Row' with sim 0.4929006099700928
        top 49 is 31338=' Annie' with sim 0.4855847954750061
        top 50 is 46980=' Rita' with sim 0.4855639636516571
        top 51 is 45023=' Lucky' with sim 0.4775179624557495
        top 52 is 32252=' Casey' with sim 0.4595886468887329
        top 53 is 42486=' Tate' with sim 0.4581134021282196
        top 54 is 29169=' Pearl' with sim 0.4545549750328064
        top 55 is 21960=' Laura' with sim 0.44818946719169617
        top 56 is 30014=' Berry' with sim 0.4454367458820343
        top 57 is 285=' and' with sim 0.4297214150428772
        top 58 is 31316=' Ellen' with sim 0.42567792534828186
        top 59 is 6393=' Mary' with sim 0.4246264398097992
        top 60 is 9756=' Carolina' with sim 0.42202889919281006
        top 61 is 49231=' Shelby' with sim 0.4206606447696686
        top 62 is 7758=' Florida' with sim 0.4201487600803375
        top 63 is 27581=' Gabriel' with sim 0.4180680811405182
        top 64 is 15541=' Hope' with sim 0.4155367612838745
        top 65 is 25062=' Karen' with sim 0.4037771224975586
        top 66 is 43783=' Philippine' with sim 0.402003675699234
        top 67 is 33811=' Amanda' with sim 0.3965807557106018
        top 68 is 9271=' Lib' with sim 0.39589768648147583
        top 69 is 40282=' Adelaide' with sim 0.3954826593399048
        top 70 is 33515=' Perl' with sim 0.39478954672813416
        top 71 is 34876=' Sue' with sim 0.39398983120918274
        top 72 is 22723=' Sean' with sim 0.39356815814971924
        top 73 is 14648=' basketball' with sim 0.3921491801738739
        top 74 is 27955=' Faith' with sim 0.39035987854003906
        top 75 is 20428=' Kate' with sim 0.38640356063842773
        top 76 is 36253=' Jill' with sim 0.385393351316452
        top 77 is 14943=' Kelly' with sim 0.3788833022117615
        top 78 is 39319=' Ara' with sim 0.3761451840400696
        top 79 is 29509=' Crystal' with sim 0.3690558075904846
        top 80 is 10703=' Page' with sim 0.3634158670902252
        top 81 is 22739=' Rachel' with sim 0.3615725636482239
        top 82 is 22169=' Beth' with sim 0.35836803913116455
        top 83 is 3419=' Ag' with sim 0.3550652861595154
        top 84 is 31472=' Jesse' with sim 0.35129767656326294
        top 85 is 3906=' office' with sim 0.3418339490890503
        top 86 is 47442=' Gert' with sim 0.33829519152641296
        top 87 is 36097=' Jenny' with sim 0.3345915973186493
        top 88 is 17361=' Sydney' with sim 0.33187970519065857
        top 89 is 21122=' Jerry' with sim 0.32822299003601074
        top 90 is 25975=' Emma' with sim 0.32107463479042053
        top 91 is 28642=' Ana' with sim 0.320778489112854
        top 92 is 33534=' Bea' with sim 0.3199631869792938
        top 93 is 5961=' bone' with sim 0.3175162672996521
